#ObservationID, RA, DEC
T01_200T01_9000001638, 19:59:59.852, 65:8:54.650
T01_207T01_9000001720, 05:00:47.13, -57:09:25.50
T01_218T01_9000001852, 11:4:27.314, 38:12:31.788
T02_002T01_9000001914, 00:48:19.2, 85:13:26.1
T02_012T01_9000001946, 03:24:41.16, +34:10:45.90
T02_012T02_9000001948, 03:24:09.29, +34:04:09.64
T02_012T03_9000001950, 03:25:13.07, +34:10:45.64
T02_012T04_9000001952, 03:24:09.25, +34:10:45.64
T02_012T05_9000001954, 03:25:13.11, +34:17:21.64
T02_012T06_9000001956, 03:24:09.21, +34:17:21.64
T02_012T07_9000001958, 03:24:41.16, +34:04:09.90
T02_012T08_9000001960, 03:24:41.16, +34:17:21.90
T02_014T01_9000001980, 5:34:31.940, 22:0:52.18
T02_038T01_9000001994, 18:20:31.0, +07:11:05.0
T02_046T01_9000002116, 22:43:42.91, -16:59:08.0
T02_052T01_9000002208, 16:16:00.22, +22:16:04.83
T02_056T01_9000002210, 13:34:37.00, +37:54:44.00
T02_058T01_9000002338, 05:34:31.94, +22:00:52.2
T02_065T01_9000002218, 16:16:00.22, +22:16:04.83
T02_066T01_9000002324, 18:20:31, +07:11:5
T02_068T01_9000002238, 16:16:00.22, +22:16:04.83
T02_069T01_9000002242, 16:16:00.22, +22:16:04.83
T02_070T01_9000002244, 01:09:46, -71:20:30
T02_071T01_9000002246, 01:08:54, -71:24:42
T02_072T01_9000002250, 01:08:54, -71:16:18
T02_085T01_9000002296, 4:20:0.402, -54:56:16.578
T02_092T01_9000002384, 16:57:49.81, 35:20:32.4
T02_094T01_9000002380, 16:57:49.811, 35:20:32.487
T02_095T01_9000002330, 0:46:52.20, 42:12:12.40
T02_104T01_9000002356, 23:47:4.836, 51:42:17.892
T02_109T01_9000002386, 03:50:24.9669, +17:14:47.431
T02_110T01_9000002376, 16:35:14.8, +38:09:09.0
T02_110T01_9000002388, 16:35:14.8, +38:09:09.0
T03_003T01_9000002712, 12:26:40.49, +19:45:15.8
T03_004T01_9000002532, 23:20:11.80, +22:24:07.0
T03_005T01_9000002908, 12:20:15.00, +25:30:00.00
T03_005T01_9000002928, 12:20:15.00, +25:30:00.00
T03_012T01_9000002606, 09:57:32.858, 33:37:11.028
T03_013T01_9000002598, 09:49:30.3, +55:34:46.992
T03_014T01_9000002704, 14:28:10.860, 13:33:5.688
T03_015T01_9000002486, 6:42:15.533, 75:37:32.628
T03_018T01_9000002442, 19:23:32.189, -21:4:33.348
T03_020T01_9000002444, 4:20:0.402, -54:56:16.578
T03_025T01_9000002670, 9:55:33.173, 69:3:55.044
T03_027T01_9000002608, 00:29:57.01, +32:53:37.4
T03_028T01_9000002880, 20:39:09.18, -30:45:20.10
T03_030T01_9000002574, 00:33:37.60, +28:44:21.0
T03_032T01_9000002564, 9:17:52.910, -22:21:16.812
T03_033T01_9000002568, 11:20:14.964, 12:59:29.544
T03_034T01_9000002500, 10:43:57.701, 11:42:13.716
T03_035T01_9000002696, 12:34:20.309, 8:11:51.900
T03_036T01_9000002972, 13:18:54.809, -21:2:20.796
T03_037T01_9000002912, 19:9:46.099, -63:51:27.108
T03_037T01_9000002930, 19:9:46.099, -63:51:27.108
T03_040T01_9000002628, 12:49:05.0, +43:05:42.0
T03_042T01_9000002630, 13:53:02.0, +42:58:14.0
T03_050T01_9000002620, 10:14:53.48, -15:55:53.2
T03_051T01_9000002588, 11:13:44.90, -30:42:48.0
T03_052T01_9000002622, 11:24:27.518, 36:50:28.817
T03_053T01_9000002616, 11:28:48.226, 58:7:41.992
T03_056T01_9000002900, 22:11:31.375, 18:5:34.158
T03_058T01_9000002522, 00:51:39.2, -72:17:03.6
T03_059T01_9000002546, 03:32:29.686, -27:44:07.31
T03_059T01_9000002554, 03:32:29.686, -27:44:07.31
T03_061T01_9000002654, 5:47:1.889, -34:15:2.196
T03_063T01_9000002550, 11:53:22.313, -11:5:12.588
T03_066T01_9000002600, 12:15:32.93, 36:17:01
T03_068T01_9000002594, 23:23:24.000, 58:48:54.000
T03_070T01_9000002632, 03:24:41.10, +34:10:46.00
T03_070T02_9000002634, 03:24:09.23, +34:04:09.74
T03_070T03_9000002636, 03:25:13.01, +34:10:45.74
T03_070T04_9000002638, 03:24:09.19, +34:10:45.74
T03_070T05_9000002640, 03:25:13.05, +34:17:21.74
T03_070T06_9000002642, 03:24:09.15, +34:17:21.74
T03_070T07_9000002644, 03:24:41.10, +34:04:10.00
T03_070T08_9000002646, 03:24:41.10, +34:17:22.00
T03_070T09_9000002648, 03:25:12.97, +34:04:09.74
T03_071T01_9000002610, 09:21:38.33, +33:21:38.33
T03_075T01_9000002660, 12:21:21.941, 30:10:37.11
T03_090T01_9000002822, 07:00:11.55, -66:02:24.1
T03_099T03_9000002854, 07:00:11.54, -66:02:24.1
T03_108T01_9000002898, 18:20:21.88, +07:11:08.3
T03_118T01_9000002962, 19:42:40.58, -10:19:25.50
T03_138T01_9000003162, 22:42:39.34, +29:43:31.30
T03_138T02_9000003172, 22:42:08.97, +29:36:55.08
T03_138T03_9000003178, 22:43:09.74, +29:43:31.08
T03_138T04_9000003180, 22:42:08.94, +29:43:31.08
T03_138T05_9000003182, 22:43:09.77, +29:50:07.08
T03_138T06_9000003184, 22:42:08.90, +29:50:07.08
T03_138T07_9000003186, 22:42:39.34, +29:36:55.30
T03_138T08_9000003188, 22:42:39.34, +29:50:07.30
T03_138T09_9000003190, 22:43:09.70, +29:36:55.08
T03_145T01_9000003278, 23:25:24.187, -38:26:49.189
T03_149T01_9000003314, 06:36:23.59, -42:52:04.10
T03_149T02_9000003316, 06:35:47.51, -42:58:39.75
T03_149T03_9000003318, 06:36:59.61, -42:52:03.75
T03_149T04_9000003322, 06:35:47.57, -42:52:03.75
T03_149T05_9000003324, 06:36:59.55, -42:45:27.75
T03_149T06_9000003326, 06:35:47.63, -42:45:27.75
T03_149T07_9000003332, 06:36:23.59, -42:58:40.10
T03_149T08_9000003334, 06:36:23.59, -42:45:28.10
T03_149T09_9000003336, 06:36:59.67, -42:58:39.75
T03_156T01_9000003312, 00:45:28.800, 41:54:10.102
T03_168T01_9000003368, 2:9:34.537, -74:27:11.820
T03_170T01_9000003388, 02:10:46.2004, -51:01:01.891
T03_173T01_9000003416, 10:48:27.62, 71:43:35.9
T03_175T01_9000003428, 14:22:30.38, +32:23:10.32
T03_189T01_9000003614, 13:21:17.813, 42:35:15.380
T03_191T01_9000003618, 5:20:28.040, -71:57:53.300
T03_194T01_9000003620, 11:59:31.8, 29:14:44.0
T03_197T01_9000003626, 16:57:49.810, 35:20:32.399
T03_200T01_9000003654, 11:06:47.5, +72:34:07
T03_206T01_9000003672, 08:54:48.87, +20:06:30.64
A08_003T16_9000003676, 12:32:41.744, 14:3:5.810
A07_091T03_9000003678, 21:42:55.98, -30:07:57.91
A07_018T07_9000003680, 20:52:31.64, +29:40:54.2
A07_018T09_9000003682, 20:46:49.07, +31:28:40.2
A07_018T02_9000003684, 20:48:29.32, +29:43:23.8
A07_171T02_9000003686, 13:25:34.08, -54:14:43.129
A07_027T01_9000003690, 1:47:42.84, -52:45:42.84
A07_097T01_9000003692, 23:3:15.674, 8:52:25.280
A09_027T01_9000003694, 10:03:00.35, +68:49:26.63
A09_027T02_9000003696, 09:59:54.19, +68:38:16.87
A09_006T01_9000003700, 14:4:25.925, -17:13:40.550
A09_022T01_9000003702, 14:39:00.21, +64:17:29.98
A07_059T07_9000003704, 20:20:08.76, +16:43:53.99
A09_059T01_9000003706, 14:19:04, +52:52:12
A09_061T02_9000003708, 13:39:35.06, -67:22:51.76
A09_057T04_9000003712, 23:14:48.50, -43:35:59.8
A09_047T01_9000003714, 09:16:01.49, -36:37:37.4
A09_085T02_9000003716, 8:37:15.00, -29:57:18.00
A08_003T17_9000003720, 12:30:57.112, 11:29:0.713
A07_147T01_9000003722, 12:43:57.60, +16:22:54.00
A09_008T05_9000003724, 15:4:1.201, 10:26:16.152
A09_043T02_9000003726, 10:43:57.7, 11:42:13.7
A07_148T02_9000003728, 13:34:40.770, -23:26:45.200
A09_081T01_9000003730, 13:21:17.813, 42:35:15.380
A07_127T03_9000003732, 22:46:03.7, -11:00:04
A09_013T02_9000003734, 16:07:33, +54:38:31
A09_006T05_9000003736, 11:53:00.88, -42:14:03.8
A09_006T04_9000003738, 10:34:58.21, -29:05:40.1
A09_016T03_9000003740, 13:56:53.62, +10:31:30.81
A09_016T04_9000003742, 14:30:30, +13:39:12.00
A09_043T01_9000003744, 13:37:00.9, -29:51:55.5
A09_008T03_9000003746, 14:19:22.420, -26:38:40.999
A09_008T06_9000003748, 0:59:53.280, 31:49:36.872
A09_033T01_9000003750, 21:3:1.846, -14:15:36.090
A07_027T11_9000003752, 12:36:49.82, +13:9:46.44
A09_147T01_9000003754, 23:24:48.0, -40:39:36.0
A07_068T01_9000003756, 13:35:54.00, -34:17:44.00
A07_068T01_9000003760, 13:35:54.00, -34:17:44.00
A09_033T02_9000003762, 0:48:47.141, 31:57:25.085
A09_085T03_9000003764, 2:14:43.01, 59:29:6.00
A09_142T01_9000003766, 14:00:45.82, 59:19:43.32
T03_218T01_9000003770, 17:17:26, +51:12:58
A09_138T04_9000003776, 5:3:49.254, -28:23:8.313
A09_012T01_9000003778, 02:28:38.1, -73:52:26.9
A09_012T02_9000003780, 02:13:03, -74:04:51.7
A09_012T03_9000003782, 01:58:01, -74:14:14.9
A09_012T04_9000003784, 01:51:29.3, -74:14:25.7
A09_079T03_9000003790, 03:31:12.00, +43:54:15.4
A09_143T03_9000003794, 03:01:39.58, -08:06:45.20
A09_008T02_9000003796, 4:26:0.724, -57:12:0.972
A09_038T02_9000003798, 0:41:52.944, -73:22:58.503
A09_038T04_9000003802, 0:45:57.288, -72:43:52.702
A09_143T05_9000003804, 15:55:16.41, +35:43:24.65
A09_143T08_9000003806, 16:16:42.64, +20:57:20.11
A09_088T01_9000003808, 03:12:16.21, -55:12:58.40
A09_088T01_9000003812, 03:12:16.21, -55:12:58.40
A09_127T01_9000003816, 14:28:36.12, 46:07:12
A09_127T02_9000003818, 14:26:24, 46:48:00
A09_127T03_9000003820, 14:23:24, 46:06:00
A09_108T02_9000003822, 00:39:51.64, +40:21:11.3
A09_056T01_9000003824, 18:29:31.781, 48:44:46.159
A07_146T01_9000003828, 03:49:23.18, -11:59:27.00
A09_038T05_9000003830, 0:48:27.434, -72:25:47.661
A09_038T06_9000003832, 0:50:52.648, -72:07:35.746
A09_095T02_9000003840, 5:20:28.040, -71:57:53.300
A09_038T10_9000003844, 0:48:18.684, -73:02:27.311
A09_095T02_9000003846, 5:20:28.040, -71:57:53.300
T03_223T01_9000003850, 03:24:41.1, +34:10:46
A09_038T08_9000003856, 0:43:01.829, -73:38:28.794
A09_038T07_9000003858, 0:53:13.152, -71:49:17.290
A09_038T09_9000003860, 0:45:43.034, -73:20:31.805
A07_027T01_9000003862, 1:47:42.84, -52:45:42.84
A09_079T01_9000003864, 05:43:33.5, -68:22:23
T03_230T01_9000003874, 21:57:40.680, -80:21:28.80
A09_038T10_9000003876, 0:48:18.684, -73:02:27.311
A09_038T11_9000003878, 0:50:49.036, -72:44:15.698
A09_038T12_9000003880, 0:53:14.335, -72:25:57.324
A09_038T21_9000003882, 1:00:16.841, -72:07:03.869
A09_038T17_9000003884, 0:50:45.158, -73:20:55.638
T03_232T01_9000003886, 21:57:40.680, -80:21:28.80
A09_038T18_9000003890, 0:53:15.604, -73:02:37.319
A09_038T19_9000003892, 0:55:40.873, -72:44:12.363
T03_233T01_9000003894, 21:57:40.680, -80:21:28.80
T03_241T01_9000003902, 00:48:19.2, 85:13:26.1
T03_240T01_9000003906, 00:48:19.2, 85:13:26.1
T03_236T01_9000003908, 03:24:41.1, +34:10:46
T03_247T01_9000003914, 00:48:19.2, 85:13:26.1
T03_243T01_9000003918, 19:42:40.644, -10:19:24.57
C05_013T06_9000003920, 00:48:19.2, 85:13:26.1
A09_038T11_9000003924, 0:50:49.036, -72:44:15.698
A09_038T12_9000003926, 0:53:14.335, -72:25:57.324
A09_038T13_9000003928, 0:55:34.812, -72:07:32.525
A09_038T14_9000003930, 0:57:50.685, -71:49:01.615
A09_038T15_9000003932, 1:00:02.165, -71:30:24.888
T03_249T01_9000003934, 8:54:48.875, 20:6:30.643
A09_038T15_9000003936, 1:00:02.165, -71:30:24.888
A09_038T16_9000003938, 0:48:09.277, -73:39:06.959
A09_038T20_9000003940, 0:58:01.208, -72:25:41.108
A09_038T22_9000003942, 1:02:27.991, -71:48:20.942
A09_038T23_9000003944, 0:53:16.969, -73:39:17.339
A09_038T25_9000003946, 0:58:12.493, -73:02:20.524
A09_038T26_9000003948, 1:00:32.561, -72:43:42.702
A09_038T27_9000003950, 1:02:47.828, -72:24:59.034
A09_038T28_9000003952, 1:04:58.525, -72:06:09.814
A09_038T29_9000003954, 1:07:04.866, -71:47:15.316
A09_038T30_9000003958, 0:58:24.625, -73:38:59.920
A09_038T31_9000003960, 1:00:49.439, -73:20:21.441
A09_038T32_9000003962, 1:03:09.100, -73:01:36.946
A09_038T14_9000003964, 0:57:50.685, -71:49:01.615
A09_038T13_9000003966, 0:55:34.812, -72:07:32.525
A09_038T24_9000003968, 0:55:47.381, -73:20:52.182
A09_038T33_9000003970, 1:05:23.865, -72:42:46.752
T03_259T01_9000003972, 0:45:28.800, 41:54:10.100
T03_257T01_9000003976, 22:42:54.4073, 29:42:44.342
A09_038T36_9000003978, 1:03:31.967, -73:38:14.724
A09_038T37_9000003980, 1:05:51.068, -73:19:23.454
A09_038T38_9000003982, 1:05:29.187, -72:59:00.850
A09_038T39_9000003984, 1:10:10.526, -72:37:19.255
A09_038T41_9000003986, 1:10:52.008, -73:17:58.300
T03_262T01_9000003988, 0:45:28.800, 41:54:10.100
A09_038T42_9000003992, 1:15:52.002, -73:16:06.089
A09_038T43_9000003994, 1:18:49.356, -73:33:13.295
A09_038T44_9000003996, 1:20:50.797, -73:13:46.969
A09_038T45_9000003998, 1:23:52.711, -73:30:37.992
A10_002T05_9000004000, 0:44:08.88, 41:33:26.45
A09_038T46_9000004002, 1:25:48.148, -73:11:01.119
A09_038T47_9000004004, 1:28:54.414, -73:27:35.593
A09_038T35_9000004006, 1:09:39.651, -72:04:50.419
A09_038T34_9000004008, 1:07:33.973, -72:23:51.151
A10_024T01_9000004010, 22:19:51, -48:42:40
A09_038T40_9000004012, 1:12:19.420, -72:22:17.540
A10_009T02_9000004014, 1:26:58.095, -32:32:35.438
A10_016T01_9000004016, 11:39:14.872, 17:8:37.208
A10_016T02_9000004018, 2:40:23.967, -8:26:0.758
A10_048T08_9000004020, 22:16:29.1, -21:25:50.5
A10_002T04_9000004022, 0:42:50.57, 41:15:00.82
A10_002T05_9000004024, 0:44:08.88, 41:33:26.45
A10_024T01_9000004026, 22:19:51, -48:42:40
A10_048T01_9000004028, 01:34:18.2, -29:25:06.6
A10_048T06_9000004030, 23:47:51.7, -30:31:19.2
A10_049T01_9000004032, 04:26:00.71, -57:12:01.77
A10_016T01_9000004034, 11:39:14.872, 17:8:37.208
A10_021T02_9000004036, 4:45:42.500, -59:14:49.852
A10_021T03_9000004038, 10:43:57.700, 11:42:13.702
A10_021T08_9000004042, 12:47:12, 13:54:1.28
A10_021T01_9000004044, 2:46:19.050, -30:16:29.600
A10_045T01_9000004046, 01:43:02.40, +13:38:42.20
A10_045T02_9000004048, 02:28:20.11, -31:52:51.7
A10_048T02_9000004050, 02:46:19.1, -30:16:29.6
A10_045T03_9000004052, 10:39:26.89, +47:56:49.60
A10_057T02_9000004054, 07:23:01.4, 36:21:17.1
A10_073T01_9000004056, 06:25:16.2, +73:34:38.9
A10_073T04_9000004058, 11:43:38.3, +71:41:19.7
A10_057T05_9000004060, 09:00:24.1, 25:36:53.3
A10_024T01_9000004062, 22:19:51, -48:42:40
A10_090T14_9000004064, 23:25:53.600, 42:32:6.000
A10_045T04_9000004066, 11:51:36.046, +16:39:51.43
A10_073T05_9000004068, 08:38:10.7, +48:38:04.0
A10_090T16_9000004070, 17:58:33.404, 66:37:58.749
A10_045T09_9000004072, 14:51:14.41, +35:32:32.17
A10_067T01_9000004076, 8:54:48.875, 20:6:30.640
A10_102T06_9000004078, 11:23:33.56, 67:11:09.90
A10_102T10_9000004080, 10:46:16.70, 57:51:27.90
A10_116T01_9000004082, 02:46:19.05, -30:16:29.6
A10_101T02_9000004084, 0:53:34.933, 12:41:35.927
A10_045T05_9000004086, 13:10:05.84, +34:10:52.0
A10_058T13_9000004088, 01:08:08.070, -15:30:42.73
A10_101T21_9000004090, 16:13:57.179, 65:43:9.954
A10_050T06_9000004092, 08:18:23.00, -11:11:38.94
A10_110T04_9000004094, 10:45:18.0, +35:19:13
A10_123T03_9000004096, 11:15:48.05, 29:11:17.70
A10_110T05_9000004098, 11:07:13.2, +65:06:07
A10_058T09_9000004100, 00:42:05.019, -09:32:04.07
A10_102T07_9000004102, 02:28:49.51, -09:01:53.80
A10_110T01_9000004104, 10:23:32.6, +10:57:35
A10_102T03_9000004106, 11:07:31.23, 13:47:12.80
A10_045T06_9000004108, 14:04:54.73, +12:42:16.88
A10_045T07_9000004110, 14:04:53.72, +12:43:18.10
A10_073T08_9000004112, 05:25:22.5, +24:13:31.8
A10_110T03_9000004114, 11:38:12.9, +12:06:43
A10_021T04_9000004116, 12:21:32.760, 14:36:22.201
A10_021T08_9000004118, 12:47:12, 13:54:1.28
A10_123T03_9000004120, 11:15:48.05, 29:11:17.70
A10_123T06_9000004122, 11:30:11.34, 44:15:18.90
A10_123T07_9000004124, 12:10:43.63, 42:15:51.21
A10_123T08_9000004126, 13:10:59.87, 51:29:14.04
A10_093T01_9000004128, 05:21:56.58, +43:59:22.00
A10_103T01_9000004132, 13:26:47.24, -47:28:46.5
A10_103T08_9000004136, 15:00:18.45, -82:12:49.3
A10_123T06_9000004138, 11:30:11.34, 44:15:18.90
A10_123T07_9000004140, 12:10:43.63, 42:15:51.21
A10_115T03_9000004142, 12:45:07.82, +45:26:24.90
A10_064T01_9000004144, 02:21:30.6, +39:21:58
A10_064T02_9000004146, 11:39:43.6, +31:55:12
A10_048T07_9000004148, 12:25:55.6, 18:12:50.0
A10_082T04_9000004150, 16:04:26.55, +40:40:58.95
A10_123T08_9000004152, 13:10:59.87, 51:29:14.04
A10_048T03_9000004154, 13:08:48.7, -06:46:39.0
A10_073T06_9000004156, 06:36:32.5, +35:35:43.3
A10_103T04_9000004158, 07:38:08.47, +38:52:56.8
A10_123T02_9000004160, 08:38:44.25, 43:22:20.19
A10_094T20_9000004164, 05:37:34.9020, -70:11:41.039
A10_063T01_9000004182, 14:06:21.889, +22:23:46.515
A10_099T01_9000004184, 12:52:12.461, -13:24:52.992
A10_021T08_9000004186, 12:47:12, 13:54:1.28
A10_048T07_9000004188, 12:25:55.6, 18:12:50.0
A10_053T41_9000004194, 07:30:41.45, +24:05:06.6
A10_094T71_9000004196, 05:48:48.7381, -68:53:21.868
A10_053T43_9000004198, 13:41:44.58, +47:41:26.5
A10_102T02_9000004200, 17:14:09.04, 58:49:06.20
A10_115T03_9000004202, 12:45:07.82, +45:26:24.90
A10_115T01_9000004206, 06:19:58.218, -10:38:14.70
A10_045T08_9000004208, 14:41:19.18, +07:47:34.78
A10_021T10_9000004210, 19:9:46.100, -63:51:27.101
A10_050T01_9000004212, 18:10:43.86, -27:57:50.10
A10_050T03_9000004216, 18:09:51.05, -27:46:00.69
A10_102T11_9000004220, 16:25:39.87, 40:48:04.20
T03_280T01_9000004222, 17:03:01.0226, -48:36:14.510
T03_281T01_9000004224, 17:03:55.5196, -48:44:22.739
T03_282T01_9000004226, 17:03:35.8600, -48:58:22.003
A10_101T19_9000004228, 15:4:1.194, 10:26:15.779
A10_102T11_9000004230, 16:25:39.87, 40:48:04.20
A10_102T05_9000004232, 16:05:31.84, 17:48:26.10
A10_110T02_9000004234, 13:32:24.2, +11:06:23
A10_094T01_9000004236, 05:05:21.4429, -70:28:39.030
A10_094T02_9000004238, 05:09:40.1997, -70:30:04.501
A10_102T08_9000004240, 09:14:24.75, 11:56:25.50
A10_102T09_9000004242, 08:03:59.96, 09:58:46.80
A10_094T05_9000004244, 05:22:38.9256, -70:32:03.009
A10_064T03_9000004246, 19:18:30.0, -60:29:56
A10_094T06_9000004248, 05:26:58.7849, -70:31:56.420
A10_048T05_9000004250, 14:42:23.9, -17:15:11.5
A10_094T08_9000004252, 05:35:37.9621, -70:30:34.105
A10_073T07_9000004254, 16:54:43.7, -19:16:31.1
A10_104T02_9000004258, 07:14:52.07, +68:48:15.36
A10_094T12_9000004260, 05:03:30.3538, -70:09:31.607
A10_094T10_9000004262, 05:44:15.3506, -70:27:39.907
A10_093T01_9000004266, 05:21:56.58, +43:59:22.00
T03_286T01_9000004268, 12:36:51.0, +62:17:38.67
A10_097T02_9000004272, 09:45:42.1, -14:19:35.0
A10_093T01_9000004274, 05:21:56.58, +43:59:22.00
A10_007T01_9000004276, 17:28:19.901, -14:15:56.016
T03_291T01_9000004278, 17:02:49.36, -48:47:22.8
A10_102T10_9000004282, 10:46:16.70, 57:51:27.90
A10_102T12_9000004284, 14:48:50.08, 16:08:03.10
A10_102T04_9000004286, 15:23:04.97, 11:45:53.60
A10_053T01_9000004288, 21:44:48.86, -63:22:11.0
A10_053T02_9000004290, 20:05:55.22, -59:17:11.9
A10_053T03_9000004292, 19:43:44.88, -56:10:08.8
A10_053T04_9000004294, 19:53:04.02, -55:43:58.2
A10_053T05_9000004296, 19:33:15.47, -54:58:52.0
A10_058T01_9000004298, 20:10:14.753, -56:38:29.49
A10_053T06_9000004300, 21:42:42.45, -54:18:43.0
A10_053T11_9000004302, 20:19:53.76, -38:56:36.2
A10_094T16_9000004304, 05:20:31.7519, -70:13:37.732
A10_071T05_9000004308, 12:21:12.89, 18:22:56.6
A10_071T01_9000004310, 12:13:47.23, 13:25:29.5
A10_071T02_9000004312, 12:13:48.22, 14:54:01.5
A10_071T03_9000004314, 12:15:54.30, 13:08:58.6
A10_071T04_9000004316, 12:16:22.59, 13:18:25.7
A10_082T06_9000004318, 17:47:56.20, -29:59:39.6
A10_071T09_9000004320, 12:21:42.29, 14:35:52.5
A10_071T07_9000004322, 12:21:32.74, 14:36:22.8
A10_071T06_9000004324, 12:21:17.83, 11:30:37.7
A10_071T08_9000004326, 12:21:40.80, 11:30:10.2
A10_071T10_9000004328, 12:23:17.10, 11:22:05.7
A10_050T05_9000004330, 20:53:20.20, -22:20:47.00
A10_097T01_9000004334, 20:52:02.3, -57:04:07.7
A10_097T03_9000004336, 21:48:19.5, -34:57:04.5
A10_021T06_9000004338, 12:34:20.310, 8:11:51.900
A10_102T01_9000004340, 12:27:32.18, 07:57:47.70
A10_050T05_9000004342, 20:53:20.20, -22:20:47.00
A10_071T09_9000004344, 12:21:42.29, 14:35:52.5
A10_071T15_9000004346, 12:26:07.14, 16:10:51.7
A10_071T16_9000004348, 12:26:50.83, 13:10:36.9
A10_007T01_9000004350, 17:28:19.901, -14:15:56.016
A10_071T17_9000004352, 12:26:56.41, 12:26:56.41
A10_071T20_9000004354, 12:28:43.24, 14:59:58.2
A10_071T23_9000004356, 12:31:59.10, 14:25:13.1
A10_071T29_9000004358, 12:35:26.45, 14:29:46.8
A10_053T13_9000004360, 23:38:07.84, -35:52:52.2
A10_053T14_9000004362, 23:29:52.84, -35:13:04.4
A10_053T15_9000004364, 23:55:21.35, -34:48:02.1
A10_053T17_9000004366, 00:01:03.78, -33:48:15.9
A10_053T20_9000004372, 23:28:29.73, -32:48:47.1
T04_002T01_9000004374, 18:19:7.748, 63:5:28.904
A10_058T03_9000004380, 13:29:28.584, -31:39:25.46
A10_058T04_9000004382, 13:27:03.026, -27:12:58.04
A10_053T22_9000004384, 00:50:15.88, -30:59:57.0
A10_053T47_9000004386, 23:43:38.58, -31:48:18.36
A10_053T14_9000004390, 23:29:52.84, -35:13:04.4
A10_053T15_9000004392, 23:55:21.35, -34:48:02.1
A10_053T13_9000004394, 23:38:07.84, -35:52:52.2
A10_053T17_9000004396, 00:01:03.78, -33:48:15.9
A10_053T20_9000004398, 23:28:29.73, -32:48:47.1
A10_055T01_9000004400, 13:29:19.19, -38:14:18.5
A10_094T78_9000004402, 05:30:40.2262, -68:41:29.834
A10_053T23_9000004404, 01:18:38.35, -30:41:02.9
A10_103T02_9000004406, 17:40:42.09, -53:40:27.6
A10_058T03_9000004408, 13:29:28.584, -31:39:25.46
A10_021T09_9000004410, 13:18:54.810, -21:2:20.800
A10_071T05_9000004412, 12:21:12.89, 18:22:56.6
A10_055T01_9000004414, 13:29:19.19, -38:14:18.5
A10_103T02_9000004416, 17:40:42.09, -53:40:27.6
A10_094T78_9000004420, 05:30:40.2262, -68:41:29.834
A10_094T79_9000004422, 05:34:38.3098, -68:40:41.648
A10_094T80_9000004424, 05:38:36.0521, -68:39:32.432
A10_094T81_9000004426, 05:42:33.3322, -68:38:02.239
A10_094T82_9000004428, 05:46:30.0308, -68:36:11.141
A10_058T14_9000004430, 12:54:38.247, -30:09:26.30
A10_071T44_9000004434, 12:19:30.57, 14:52:39.6
A10_071T11_9000004436, 12:24:01.50, 12:12:17.0
A10_053T35_9000004438, 01:10:56.41, -13:42:43.4
A10_053T25_9000004440, 14:34:23.16, -26:17:37.8
A10_053T36_9000004442, 00:51:07.38, -11:08:31.9
A10_053T37_9000004444, 00:52:11.48, -11:04:40.2
A10_071T12_9000004446, 12:25:22.15, 10:01:00.3
A10_071T18_9000004448, 12:27:11.68, 09:25:13.8
A10_071T25_9000004450, 12:34:20.31, 08:11:52.6
A10_071T38_9000004454, 12:48:22.91, 08:29:14.6
A10_071T40_9000004458, 12:14:08.84, 07:46:34.5
A10_071T46_9000004460, 12:20:07.49, 07:41:30.7
A10_071T49_9000004462, 12:26:29.90, 08:52:19.9
A10_071T28_9000004464, 12:34:44.87, 06:18:06.4
A10_058T10_9000004472, 21:56:04.100, -07:19:38.21
A10_058T11_9000004474, 21:57:19.291, -07:46:44.16
A10_071T42_9000004476, 12:18:43.99, 12:23:10.2
A10_071T48_9000004478, 12:25:03.74, 12:53:13.1
A10_071T52_9000004480, 12:27:31.55, 09:35:44.3
A10_071T54_9000004482, 12:28:11.34, 09:45:37.0
A10_071T56_9000004484, 12:29:18.20, 10:08:09.1
A10_071T63_9000004486, 12:32:06.23, 11:10:35.1
A10_071T69_9000004488, 12:36:39.42, 11:06:06.4
A10_071T64_9000004496, 12:33:47.95, 15:10:05.7
A10_071T66_9000004498, 12:34:50.85, 15:33:05.9
C06_010T01_9000004504, 00:48:19.2, 85:09:26
A10_058T02_9000004510, 23:24:31.412, +16:52:05.93
A10_082T10_9000004512, 23:24:14.8, +58:10:54.54
A10_103T02_9000004514, 17:40:42.09, -53:40:27.6
T04_019T01_9000004516, 18:57:30.95, +16:55:39.6
A10_073T02_9000004522, 16:49:55.6, -33:07:01.8
A10_113T01_9000004524, 17:25:06.78, +41:41:40.3
A10_058T08_9000004528, 23:23:11.724, +14:54:06.70
A10_058T08_9000004532, 23:23:11.724, +14:54:06.70
A10_053T27_9000004534, 00:40:47.97, -24:07:36.0
A10_053T30_9000004536, 00:29:10.76, -19:10:07.8
A10_053T31_9000004540, 00:35:50.96, -17:57:00.2
A10_053T40_9000004542, 00:20:36.25, +23:47:37.0
A10_053T42_9000004544, 00:32:43.41, +24:13:20.4
A10_101T01_9000004546, 0:6:19.537, 20:12:10.617
A10_064T05_9000004548, 00:01:40.2, +23:29:23
T04_026T01_9000004556, 18:57:30.95, +16:55:39.6
A10_094T26_9000004558, 05:10:04.5256, -69:53:28.069
T04_026T01_9000004560, 18:57:30.95, +16:55:39.6
A10_094T27_9000004562, 05:14:16.2586, -69:54:28.708
